person_id,id,name,character,role
14658,tm84618,Jodie Foster,Iris Steensma,ACTOR
7064,tm84618,Albert Brooks,Tom,ACTOR
3739,tm84618,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR
48933,tm84618,Cybill Shepherd,Betsy,ACTOR
32267,tm84618,Peter Boyle,Wizard,ACTOR
519612,tm84618,Leonard Harris,Senator Charles Palantine,ACTOR
29068,tm84618,Diahnne Abbott,Concession Girl,ACTOR
519613,tm84618,Gino Ardito,Policeman at Rally,ACTOR
3308,tm84618,Martin Scorsese,Passenger Watching Silhouette,ACTOR
43791,tm84618,Murray Moston,Iris' Time Keeper,ACTOR